property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features
flat,krishna appartment,sector 12,0.35,3500.0,1000.0,Super Built up area 1000(92.9 sq.m.),3,3,1,not available,2.0,,10+ Year Old,"['Palam triangle', 'Palam Vihar Vyapar kendra', 'HUDA Sector 23 Market', 'Ram Mandir', 'Sheetla Mata Mandir', 'Kalyan Hospital Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Chirag Hospital Pvt. Ltd', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Yashroop Medical Centre', 'R K Hospital Gurgaon', 'Jeevan Jyoti Hospital Gurgaon', 'Dr. Sindhu Clinic', 'Apollo Cradle Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Sheetla Clinic', 'Kishor Clinic', 'Children Hospital', 'Bhardwaj Hospital', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Catholic syrian bank', 'Karur vysay bank', 'Oriental bank of commerce', 'Big Cinemas', ""McDonald's"", 'Moti Mahal', 'Pind Baluchi', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Om Sweets', 'Cafe Coffee Day', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Swiss Cottage school', 'Lieutenant Atul Kataria School', 'Palam vihar railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['3 Wardrobe', '3 Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",
flat,dlf the ultima,sector 81,2.4,11257.0,2132.0,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,servant room,10.0,North-West,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Vatika Town Square-INXT', 'Manesar Road', 'NH 48', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['1 Water Purifier', '8 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '10 Light', '1 Curtains', '1 Modular Kitchen', '1 Chimney', '4 AC', '3 Wardrobe', '1 Washing Machine', 'No Bed', 'No Microwave', 'No Sofa', 'No Stove', 'No TV']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
house,dlf city phase 1,sector 26,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3,"pooja room,study room,servant room",2.0,North-East,5 to 10 Year Old,"['Dlf phase 1 metro station', 'Sikandarpur metro station', 'Sikanderpur metro station', 'Sikandarpur rmrg metro station', 'Mg road metro station', 'Hanuman Mandir', 'Axis bank ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Rbs ATM', 'Divine Look Clinic Centre 1', 'Lord Krishna Hospital', 'Sidhesh Hospital Gurgaon', 'Sitaram Bhartia', 'Sikka Maternity And Surgical Center', 'Uma Sanjeevani Health Centre And Hospital', 'Marwah Clinic', 'Surgi Center Clinic', 'Religare Wellness', '98.4', 'Guardian', 'Chikitsa', 'Guardian Pharmacy', 'Emaar Business Park', 'Axis bank', 'Hdfc bank', 'Lord krishna bank', 'Indusind bank', 'Abn amro bank', 'Kotak mahindra bank', 'Hsbc bank', 'Axis bank', 'PVR Cinames', 'DT Cinemas', 'PVR Metropolitan', 'Food Court', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Belgian Waffle', 'Drunken Monkey', 'CCD', 'NutrioBox Gurugram', 'Barbecue Grill', 'Pan Bangkok', 'Bahrisons library']","['10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']"
house,huda flats,sector 7,2.3,17037.0,1350.0,Plot area 150(125.42 sq.m.),5,3,3+,"pooja room,study room,servant room",3.0,North-East,10+ Year Old,"['State bank ATM', 'Dr. Madan Clinic', 'Taneja Hospital', 'Dev Man Kathuria Clinic', 'Satyam Hospital Gurgaon', 'Pearl Dental Clinic', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Shiv Mahima Patient Care Bureau', 'Shri Gobind Hospital', 'Navjeevan Hospital and Maternity Centre', 'Ankur Clinic and Maternity Home', 'Lal Superspeciality Hospital', 'Geeta Nursing Home Gurgaon', 'Dr. Ashok Jain', 'Bindal Clinic', 'My Care Clinic', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Aryan Hospital', 'Tirath Ram Hospitals Pvt Ltd', 'D.R. Rajnis Gupta Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Pasricha Hospital and Maternity Home', 'Dr. Ajay S. Gupta Clinic', 'Nangia Hospital Ent and Maternity', 'Sparsh Hospital Gurgaon', 'Rama Hospital & Nursing Home', 'Bhatnagar Maternity and Nursing Home', 'Parashar Hospital', 'Gurgaon Eye Centre', 'Vinayak Hospital Gurgaon', 'Kathuria Hospital', 'Esic Hospital Gurugram', 'Kr Dental Hub', 'Gupta Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kharbanda Maternity and Nursing Home', 'Kidney Clinic', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","['1 Fan', '1 Exhaust Fan', '2 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Park', 'Visitor Parking']"
flat,central park flower valley aqua front towers,sector 33,2.0,11179.0,1789.0,Super Built up area 1789(166.2 sq.m.),3,3,3+,not available,8.0,North-East,0 to 1 Year Old,"['Taj Hotel & Family Restaurant', 'Signature Global Park', 'Signum 36', 'Ashiana Anmol  Kid Centric Homes', 'KR Mangalam University', 'G D Goenka University', 'G D Goenka World School', 'Central Park, Sohna Rd', 'Kotak Mahindra Bank, MBS Tower', 'Sohna Bus Stand', 'Indianoil, Sohna - Gurgaon Rd', 'HDFC Bank ATM, Dhunela Ghamroj', 'V-Square Sohna New Residential', 'The Phoenix Project, Sohna - Gurgaon Rd', 'Pasco Automobiles, Alipur, Sohna']",,"['Swimming Pool', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
flat,ats triumph,sector 104,2.65,8412.0,3150.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 2650 sq.ft. (246.19 sq.m.),4,4,3+,servant room,14.0,East,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","['4 Wardrobe', '6 Fan', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park']"
house,independent,sector 11,0.9,10000.0,900.0,Plot area 900(83.61 sq.m.),7,4,3+,not available,4.0,,5 to 10 Year Old,"['Lal Superspeciality Hospital', 'Shri Gobind Hospital', 'Tirath Ram Hospitals Pvt Ltd', 'Shiv Mahima Patient Care Bureau', 'Navjeevan Hospital and Maternity Centre', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Parashar Hospital', 'Kathuria Hospital', 'Nangia Hospital Ent and Maternity', 'Mangalam Hospital and Heart Centre Gurgaon', 'Satyam Hospital Gurgaon', 'Ankur Clinic and Maternity Home', 'Pasricha Hospital and Maternity Home', 'Vinayak Hospital Gurgaon', 'Rama Hospital & Nursing Home', 'Dev Man Kathuria Clinic', 'Dr. Madan Clinic', 'Swastik Maternity and Medical Centre', 'Rachna Dental Clinic', 'Chiranjiv Hospital', 'Rajendra Hospital', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'M.S Hospital', 'Bindal Clinic', 'Dr. Ajay S. Gupta Clinic', 'Bhanu Dental Care', 'Thakral Nursing and Maternity Home', 'Parmar Dental Clinic & Lab', 'Smile Plus Dental Clinic', 'Taneja Hospital', 'Sharma Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Ravi Clinic and Health Care Centre', 'Aarvy Hospital', 'Gupta Hospital Gurgaon', 'Pearl Dental Clinic', 'Nutan Dental Hospital', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'Kharbanda Maternity and Nursing Home', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'IBP Petrol Station', 'Indian Oil', 'State bank of india']",,['Water Storage']
flat,dlf the skycourt,sector 86,1.5,7894.0,1900.0,Super Built up area 1900(176.52 sq.m.),3,3,1,others,16.0,East,1 to 5 Year Old,"['Sapphire 83 Mall', 'NH-8, Imt Manesar', 'Rao Bharat Singh International School', 'DPG Institute of Technology', 'Aarvy Healthcare', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'Aapno Ghar', 'National Tennis Academy Sector 98']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
house,dlf city plots phase 2,sector 25,4.25,31481.0,1350.0,Plot area 150(125.42 sq.m.),3,2,3,study room,2.0,North,10+ Year Old,"['Sahara Mall', 'Delhi Public School', 'Privat Hospital']",,"['High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']"
flat,hcbs sports ville,sohna road,0.32,5517.0,580.0,Carpet area: 580 (53.88 sq.m.),2,2,1,not available,7.0,,0 to 1 Year Old,"['The roadside cafe', 'GD Goenka Mess', 'ROyal Kitchen', 'Mithaas Wala', 'Momomia Gurgoan']",,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Rain Water Harvesting']"
flat,emaar mgf the palm drive,sector 66,4.6,18400.0,2500.0,Super Built up area 3300(306.58 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),3,3,3,"pooja room,study room,servant room,store room",11.0,North,1 to 5 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 248A', 'Hasanpur', 'Ashoka International School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi Gurgaon', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['1 Stove', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
flat,godrej,sector 79,1.41,9000.0,1567.0,Carpet area: 1572 (146.04 sq.m.),2,2,3,study room,3.0,,0 to 1 Year Old,"['Vatika Town Square-INXT', 'Naurangpur Road', 'NH 48', 'Euro International School', 'Gurugram University', 'Miracles Apollo Cradle', 'Nouveau Medics Multispeciality OPD', 'Indira Gandhi Intl Airport', 'Heritage Village Resort & Spa', 'Nakhrola Stadium']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
house,independent,sector 17a,3.87,5160.0,7500.0,Plot area 1623(150.78 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.),19,17,3+,"study room,store room",5.0,North-West,1 to 5 Year Old,"['Iffco chowk metro station', 'Citi bank ATM', 'Punjab national bank ATM', 'Icici bank ATM', 'Punjab national bank ATM', 'State bank of india ATM', 'Hdfc bank ATM', 'Hsbc bank ATM', 'Sangwan Hospital Gurgaon', 'Thukral Hospital', 'Apollo Cradle Hospital Gurgaon', 'Nagpal Nursing Home Gurgaon', 'Privat Hospital', 'Umkal Hospital', 'Community Center Sukhrali', 'Sector-14 Market', 'Catholic syrian bank', 'Karur vysay bank', 'Standard chartered bank', 'Oriental bank of commerce', 'Hdfc bank', 'Icici bank', 'Swagath', 'distillery', 'Walking Street', 'Gung the palace Korean restaurant', 'ADDA', 'KFC', 'Ardor 29', 'Gravity Space Bar', 'Black Mambaa', 'Tocpao', 'Bikanervala', 'Spaghetti Kitchen & Bar', 'Pizza Hut', 'Gola Sizzles', ""Hops 'N' Brew"", 'The Oriental Bloom Chinese and Thai', 'Zura', ""Domino's Pizza"", ""McDonald's"", 'Park Baluchi', 'MoB Ministory of Beer', 'Beer & Whisky Bar', 'Dhabba', 'Roots', 'Cafe Coffee Day', 'Management Development Institute']",,"['False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Park', 'Bank Attached Property', 'Visitor Parking', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal']"
house,independent,sector 12,1.4,8702.0,1609.0,Plot area 166(138.8 sq.m.),2,2,1,not available,2.0,North-East,10+ Year Old,"['Ravi Clinic and Health Care Centre', 'D.R. Rajnis Gupta Clinic', 'Geeta Nursing Home Gurgaon', 'Bindal Clinic', 'Aryan Hospital', 'Bhatnagar Maternity and Nursing Home', 'Sparsh Hospital Gurgaon', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'My Care Clinic', 'Chiranjiv Hospital', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Kharbanda Maternity and Nursing Home', 'Swastik Maternity and Medical Centre', 'Dentecare - Multispeciality Dental Clinic', 'Lalit Dental Care', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'M Goel Hospital', 'Gupta Hospital Gurgaon', 'Dr. Ajay S. Gupta Clinic', 'Dental Health Centre', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Jackson Hospital', 'Dev Man Kathuria Clinic', 'Dr. Madan Clinic', 'Taneja Hospital', 'Dr. Agya Ram Sharma Clinic', 'Satyam Hospital Gurgaon', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Sharma Hospital Gurgaon', 'GH Gurgaon', 'Dr. Ashok Jain', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'Tirath Ram Hospitals Pvt Ltd', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Pasricha Hospital and Maternity Home', 'Shubham Hospital Gurgaon', 'State bank of india', 'Rang Parivartan', 'Dronacharya Government College', 'St. Michaels Sr. Sec. School']",,
flat,umang winter hills,sector 77,1.2,6586.0,1822.0,Built Up area: 1822 (169.27 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,not available,14.0,East,undefined,"['Entertainland Mall', 'Delhi Jaipur Expressway', 'Jhankar Senior Secondary School', 'Singhania University, Manesar', 'Miracles Apollo Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Eros Corporate Park', 'Hyatt Regency Gurgaon', 'Aravalli Hills']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
flat,conscient heritage max,sector 102,2.65,10375.0,2554.0,Super Built up area 2554(237.27 sq.m.),4,5,3+,servant room,17.0,North,5 to 10 Year Old,"['Huda Metro Station', 'Ocus Medley Mall', 'The Esplanade Mall', 'Gurugram Road', 'Dwarka Expy', 'Prime Scholars International School', 'DPG Degree College', 'The Signature Advanced Super Speciality', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Altrade Business Centre', 'Holiday Inn Gurugram Sector 90', 'SkyJumper Trampoline Park Gurgaon', 'Hamoni Golf Camp', 'Nehru Stadium']","['6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
flat,signature global city 37d ph 2,sector 37d,1.1,8148.0,1350.0,Carpet area: 1350 (125.42 sq.m.),3,3,1,pooja room,2.0,North,Dec 2024,"['Dwarka Expressway', 'Pataudi Road', 'Euro International School', 'Suncity School', 'Green Field School', 'Narayana E Techno', 'Alpine Convent School', 'Little E Step –Pre School', 'Medanta-The Medicity', 'Park Hospital', 'SGT Hospital 1', 'Sheetla Mata Mandir']","['3 Fan', '1 Geyser', '7 Light', '2 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
flat,tulip violet,sector 69,1.38,8972.0,1538.0,Super Built up area 1538(142.88 sq.m.),3,3,1,not available,12.0,East,1 to 5 Year Old,"['Airia Mall Sector 68', 'Southern Peripheral Road', 'Golf Course Extension Rd', 'Imperio School', 'DPG Institute of Technology', 'Ektaa Hospitals', 'Indira Gandhi International Airport', 'Vipul Trade Business Centre', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
house,international city by sobha phase 2,sector 109,8.75,24306.0,3600.0,Plot area 400(334.45 sq.m.),5,5,3+,"pooja room,servant room,study room,store room",3.0,North-East,0 to 1 Year Old,"['Dwarka Sector 21 Metro Station', 'Pacific D21 Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']","['5 Wardrobe', '7 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '1 Microwave', '10 Light', '1 Modular Kitchen', '6 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
